// Ce fichier doit être enregistré avec l'encodage "UTF-8" pour conserver les accents
// Le nom des villes est celui qui apparait dans les exports HTML et PDF
// Pays ; TimeZone ; E=Zone Euro, M=Zone MC hors Euro, L=Zone LC (pour calcul frais réels) ; Bigramme


BEJ ; Beijing ; Chine ; Asia/Shanghai ; L ; CN
BKK ; Bangkok ; Thailande ; Asia/Bangkok ; L ; TH
BLR ; Bangalore ; Inde ; Asia/Calcutta ; L ; IN
BOM ; Bombay ; Inde ; Asia/Calcutta ; L ; IN
CAN ; Guangzhou ; Chine ; Asia/Shanghai ; L ; CN
CGK ; Jakarta ; Indonésie ; Asia/Jakarta ; L ; ID
DAC ; Dhaka ; Bangladesh ; Asia/Dacca ; L ; BD
DEL ; Delhi ; Inde ; Asia/Calcutta ; L ; IN
HAN ; Hanoï ; Vietnâm ; Asia/Ho_Chi_Minh ; L ; VN
HND ; Tokyo ; Japon ; Asia/Tokyo ; L ; JP
HKG ; Hong-Kong ; Chine ; Asia/Shanghai ; L ; CN
ICN ; Séoul ; Corée du Sud ; Asia/Seoul ; L ; KR
KIX ; Osaka ; Japon ; Asia/Tokyo ; L ; JP
KUL ; Kuala Lumpur ; Malaisie ; Asia/Kuala_Lumpur ; L ; MY
MAA ; Chennai ; Inde ; Asia/Calcutta ; L ; IN
MNL ; Manille ; Philippines ; Asia/Manila ; L ; PH
NRT ; Tokyo ; Japon ; Asia/Tokyo ; L ; JP
PEK ; Beijing ; Chine ; Asia/Shanghai ; L ; CN
PNH ; Phnom Penh ; Cambodge ; Asia/Phnom_Penh ; L ; KH
PVG ; Shanghaï ; Chine ; Asia/Shanghai ; L ; CN
SGN ; Saïgon ; Vietnâm ; Asia/Ho_Chi_Minh ; L ; VN
SHA ; Shanghaï ; Chine ; Asia/Shanghai ; L ; CN
SIN ; Singapour ; République de Singapour ; Asia/Singapore ; L ; SG
WUH ; Wuhan ; Chine ; Asia/Shanghai ; L ; CN

ATL ; Atlanta ; Etats-Unis ; America/New_York ; L ; US
BOS ; Boston ; Etats-Unis ; America/New_York ; L ; US
CVG ; Cincinnati ; Etats-Unis ; America/New_York ; L ; US
