MAJ ETE 2016
MAJ HIVER 2016/2017

S ; TNR ; CDG ; 10h40 ; ; 777
S ; CDG ; HAV ; 09h45 ; ; 777
S ; HAV ; CDG ; 09h00 ; ; 777
S ; PUJ ; SDQ ; 00h50 ; ; 777
S ; SDQ ; CDG ; 08h35 ; ; 777
S ; CDG ; MRU ; 11h00 ; ; 777
S ; MRU ; CDG ; 11h20 ; ; 777
S ; CDG ; PUJ ; 08h55 ; ; 777
S ; PUJ ; CDG ; 08h30 ; AF 969 ; 777
S ; LAD ; FIH ; 01h15 ; AF 926 ; 777
S ; FIH ; LAD ; 01h10 ; AF 927 ; 777
S ; CDG ; COO ; 06h15 ; AF 804 ; 777
S ; COO ; CDG ; 06h10 ; AF 805 ; 777
S ; CDG ; DLA ; 06h25 ; AF 902 ; 777
S ; NSI ; DLA ; 00h45 ; AF 909 ; 777
S ; DLA ; NSI ; 00h45 ; AF 902 ; 777
S ; ORY ; JFK ; 08h05 ; AF 032 ; 777
S ; JFK ; ORY ; 07h20 ; AF 037 ; 777

W ; CDG ; SFO ; 11h30 ; ; 777
W ; SFO ; CDG ; 10h45 ; ; 777
W ; CDG ; LAX ; 11h35 ; AF 076 ; 777
W ; LAX ; PPT ; 08h30 ; AF 076 ; 777
W ; PPT ; LAX ; 08h00 ; AF 077 ; 777
W ; LAX ; CDG ; 10h35 ; AF 077 ; 777
W ; CDG ; LAX ; 11h35 ; AF 072 ; 777
W ; LAX ; CDG ; 10h35 ; AF 069 ; 777
W ; CDG ; JFK ; 08h10 ; AF 006 ; 777
W ; JFK ; CDG ; 07h20 ; AF 007 ; 777
W ; CDG ; JFK ; 08h25 ; AF 008 ; 777
W ; JFK ; CDG ; 07h00 ; AF 009 ; 777
W ; CDG ; JFK ; 08h30 ; AF 010 ; 777
W ; JFK ; CDG ; 07h10 ; AF 011 ; 777
W ; CDG ; IAD ; 08h45 ; AF 054 ; 777
W ; IAD ; CDG ; 07h15 ; AF 055 ; 777
W ; CDG ; ATL ; 09h50 ; AF 682 ; 777
W ; ATL ; CDG ; 08h05 ; AF 681 ; 777
W ; CDG ; ATL ; 09h45 ; AF 688 ; 777
W ; ATL ; CDG ; 08h10 ; AF 689 ; 777
W ; CDG ; BOS ; 07h55 ; AF 334 ; 777
W ; BOS ; CDG ; 06h40 ; AF 333 ; 777
W ; CDG ; YUL ; 07h40 ; AF 344 ; 777
W ; YUL ; CDG ; 06h50 ; AF 347 ; 777
W ; YUL ; CDG ; 06h40 ; AF 345 ; 777
W ; CDG ; YYZ ; 08h20 ; AF 356 ; 777
W ; YYZ ; CDG ; 07h20 ; AF 351 ; 777
W ; CDG ; MEX ; 12h05 ; ; 777
W ; MEX ; CDG ; 10h20 ; ; 777
W ; CDG ; CUN ; 10h55 ; ; 777
W ; CUN ; CDG ; 09h15 ; ; 777
W ; CDG ; GIG ; 11h20 ; ; 777
W ; GIG ; CDG ; 10h55 ; ; 777
W ; CDG ; GRU ; 11h45 ; AF 454 ; 777
W ; GRU ; CDG ; 11h05 ; AF 457 ; 777
W ; CDG ; GRU ; 11h50 ; AF 456 ; 777
W ; GRU ; CDG ; 11h05 ; AF 459 ; 777
W ; CDG ; EZE ; 13h40 ; ; 777
W ; EZE ; CDG ; 13h00 ; ; 777
W ; EZE ; MVD ; 00h50 ; ; 777
W ; MVD ; EZE ; 00h50 ; ; 777
W ; CDG ; SCL ; 14h20 ; ; 777
W ; SCL ; CDG ; 13h45 ; ; 777
W ; CDG ; LIM ; 12h35 ; ; 777
W ; LIM ; CDG ; 12h10 ; ; 777
W ; CDG ; PTY ; 11h05 ; AF 474 ; 777
W ; PTY ; CDG ; 10h00 ; AF 475 ; 777
W ; CDG ; DEL ; 08h05 ; AF 226 ; 777
W ; DEL ; CDG ; 09h05 ; AF 225 ; 777
W ; CDG ; BOM ; 08h50 ; ; 777
W ; BOM ; CDG ; 09h30 ; ; 777
W ; CDG ; BLR ; 09h15 ; ; 777
W ; BLR ; CDG ; 10h35 ; ; 777
W ; CDG ; PEK ; 09h55 ; AF 128 ; 777
W ; PEK ; CDG ; 11h10 ; AF 129 ; 777
W ; CDG ; PEK ; 09h55 ; AF 382 ; 777
W ; PEK ; CDG ; 10h50 ; AF 381 ; 777
W ; CDG ; HKG ; 11h45 ; AF 188 ; 777
W ; HKG ; CDG ; 13h15 ; AF 185 ; 777
W ; CDG ; PVG ; 11h05 ; AF 112 ; 777
W ; PVG ; CDG ; 12h35 ; AF 117 ; 777
W ; CDG ; PVG ; 11h05 ; AF 116 ; 777
W ; PVG ; CDG ; 12h35 ; AF 111 ; 777
W ; CDG ; CAN ; 11h40 ; ; 777
W ; CAN ; CDG ; 13h10 ; ; 777
W ; CDG ; BKK ; 11h00 ; AF 166 ; 777
W ; BKK ; CDG ; 12h45 ; AF 165 ; 777
W ; CDG ; SIN ; 12h25 ; ; 777
W ; SIN ; CDG ; 13h55 ; ; 777
W ; CDG ; SGN ; 11h45 ; AF 258 ; 777
W ; SGN ; CDG ; 13h20 ; AF 253 ; 777
W ; CDG ; NRT ; 11h50 ; AF 276 ; 777
W ; NRT ; CDG ; 12h35 ; AF 275 ; 777
W ; CDG ; HND ; 11h55 ; AF 272 ; 777
W ; HND ; CDG ; 12h35 ; AF 279 ; 777
W ; CDG ; HND ; 11h50 ; AF 274 ; 777
W ; HND ; CDG ; 12h50 ; AF 293 ; 777
W ; CDG ; KIX ; 11h45 ; ; 777
W ; KIX ; CDG ; 12h40 ; ; 777
W ; CDG ; ICN ; 10h50 ; ; 777
W ; ICN ; CDG ; 12h15 ; ; 777
W ; ORY ; FDF ; 08h35 ; ; 777
W ; FDF ; ORY ; 08h00 ; ; 777
W ; ORY ; RUN ; 10h45 ; ; 777
W ; RUN ; ORY ; 11h30 ; ; 777
W ; ORY ; PTP ; 08h35 ; AF 792 ; 777
W ; PTP ; ORY ; 07h55 ; AF 793 ; 777
W ; ORY ; PTP ; 08h40 ; AF 766 ; 777
W ; PTP ; ORY ; 07h55 ; AF 797 ; 777
W ; CDG ; HAV ; 10h15 ; AF 946 ; 777
W ; HAV ; CDG ; 08h50 ; AF 943 ; 777
W ; CDG ; HAV ; 10h20 ; AF 940 ; 777
W ; HAV ; CDG ; 08h50 ; AF 945 ; 777
W ; CDG ; PUJ ; 09h20 ; ; 777
W ; PUJ ; CDG ; 08h15 ; ; 777
W ; PUJ ; SDQ ; 00h50 ; ; 777
W ; SDQ ; CDG ; 08h25 ; ; 777
W ; CDG ; SDQ ; 09h30 ; ; 777
W ; CDG ; MRU ; 10h55 ; ; 777
W ; MRU ; CDG ; 11h40 ; ; 777
W ; CDG ; DKR ; 05h40 ; ; 777
W ; DKR ; CDG ; 05h25 ; ; 777
W ; CDG ; ABJ ; 06h20 ; ; 777
W ; ABJ ; CDG ; 06h15 ; ; 777
W ; CDG ; DLA ; 06h25 ; AF 958 ; 777
W ; DLA ; SSG ; 00h40 ; ; 777
W ; SSG ; DLA ; 00h45 ; ; 777
W ; DLA ; CDG ; 06h30 ; ; 777
W ; CDG ; LBV ; 06h50 ; AF 976 ; 777
W ; LBV ; CDG ; 06h55 ; AF 977 ; 777
W ; CDG ; NSI ; 06h30 ; AF 900 ; 777
W ; NSI ; CDG ; 06h35 ; AF 901 ; 777
W ; CDG ; LAD ; 08h05 ; ; 777
W ; LAD ; CDG ; 08h05 ; ; 777
W ; CDG ; JNB ; 10h25 ; ; 777
W ; JNB ; CDG ; 10h45 ; ; 777
W ; CDG ; BGF ; 06h25 ; AF 775 ; 777
W ; BGF ; NSI ; 01h25 ; AF 775 ; 777
W ; NSI ; CDG ; 06h40 ; AF 775 ; 777
W ; CDG ; YVR ; 10h10 ; AF 374 ; 777
W ; YVR ; CDG ; 09h35 ; AF 379 ; 777
W ; CDG ; BEY ; 04h10 ; AF 566 ; 777
W ; BEY ; CDG ; 04h45 ; AF 565 ; 777
W ; CDG ; DXB ; 06h45 ; ; 777
W ; DXB ; CDG ; 07h30 ; ; 777
W ; CDG ; CPT ; 11h20 ; AF 864 ; 777
W ; CPT ; CDG ; 11h30 ; AF 871 ; 777
W ; ORY ; CAY ; 09h00 ; AF 852 ; 777
W ; CAY ; ORY ; 08h30 ; AF 853 ; 777
W ; ORY ; JFK ; 08h40 ; AF 032 ; 777
W ; JFK ; ORY ; 07h15 ; AF 037 ; 777
W ; CDG ; NSI ; 06h25 ; AF 982 ; 777
W ; NSI ; DLA ; 00h45 ; AF 982 ; 777
W ; DLA ; CDG ; 06h35 ; AF 982 ; 777
W ; CDG ; SJO ; 11h30 ; AF 430 ; 777
W ; SJO ; CDG ; 10h15 ; AF 431 ; 777
W ; CDG ; YUL ; 07h50 ; AF 342 ; 777

S ; CDG ; JFK ; 08h10 ; AF 006 ; 380
S ; JFK ; CDG ; 07h25 ; AF 007 ; 380
S ; CDG ; LAX ; 11h30 ; AF 066 ; 380
S ; LAX ; CDG ; 10h50 ; AF 065 ; 380
